Title,Authors,Publisher,Published Date,Description,Page Count,Genre,Language,Preview Link
Money,David Kinley,,1904,,448,Money,en,http://books.google.co.in/books?id=KiQMAQAAIAAJ&printsec=frontcover&dq=Money&hl=&cd=2&source=gbs_api
Money: Theory and Practice,"Jin Cao, Gerhard Illing",Springer Nature,2019-12-07,"This textbook provides an introduction to modern monetary economics for advanced undergraduates, highlighting the lessons learned from the recent financial crisis. The book presents both the core New Keynesian model and recent advances, taking into account financial frictions, and discusses recent research on an intuitive level based on simple static and two-period models, but also prepares readers for an extension to a truly dynamic analysis. Further, it offers a systematic perspective on monetary policy, covering a wide range of models to help readers gain a better understanding of controversial issues. Part I examines the long-run perspective, addressing classical monetary policy issues such as determination of the price level and interaction between monetary and fiscal policy. Part II introduces the core New Keynesian model, characterizing optimal monetary policy to stabilize short-term shocks. It discusses rules vs. discretion and the challenges arising from control errors, imperfect information and robustness issues. It also analyzes optimal control in the presence of an effective lower bound. Part III focuses on modelling financial frictions. It identifies the transmission mechanisms of monetary policy via banking and introduces models with incomplete markets, principal-agent problems, maturity mismatch and leverage cycles, to show why investors’ and intermediaries’ own stakes play a key role in lending with pro-cyclical features. In addition, it presents a tractable model for handling liquidity management and demonstrates that the need to sell assets in crisis amplifies the volatility of the real economy. Lastly, the book discusses the relation between monetary policy and financial stability, addressing systemic risk and the role of macro-prudential regulation.",412,Business & Economics,en,http://books.google.co.in/books?id=6kbCDwAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=3&source=gbs_api
The Psychology of Money,Morgan Housel,Harriman House Limited,2020-09-08,"Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. Money—investing, personal finance, and business decisions—is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics.",209,Business & Economics,en,http://books.google.co.in/books?id=TnrrDwAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=4&source=gbs_api
Money,Sergio M. Focardi,Routledge,2018-03-19,"By enabling the storage and transfer of purchasing power, money facilitates economic transactions and coordinates economic activity. But what is money? How is it generated? Distributed? How does money acquire value and that value change? How does money impact the economy, society? This book explores money as a system of ""tokens"" that represent the purchasing power of individual agents. It looks at how money developed from debt/credit relationships, barter and coins into a system of gold-backed currencies and bank credit and on to the present system of fiat money, bank credit, near-money and, more recently, digital currencies. The author successively examines how the money circuit has changed over the last 50 years, a period of stagnant wages, increased household borrowing and growing economic complexity, and argues for a new theory of economies as complex systems, coordinated by a banking and financial system. Money: What It Is, How It’s Created, Who Gets It and Why It Matters will be of interest to students of economics and finance theory and anyone wanting a more complete understanding of monetary theory, economics, money and banking.",188,Business & Economics,en,http://books.google.co.in/books?id=ARdSDwAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=5&source=gbs_api
The Principles of Money,James Laurence Laughlin,,1903,,628,Money,en,http://books.google.co.in/books?id=9eMoAAAAYAAJ&printsec=frontcover&dq=Money&hl=&cd=10&source=gbs_api
The Power of Money,Robert Pringle,Palgrave Macmillan,2019-12-11,"Innovation in money is just as important as innovation in any other sphere of activity; money is always a “work in progress.” In fact, history shows societies have tried out a wide diversity of monetary arrangements. Ideas about money have played key roles at crucial turning points in world history and during national histories. Recently, a new global money space has been created, a joint venture between the public and private sector. This book explores the new money society that has grown up to inhabit this new space. The book has several aims: Firstly, the book shows how beliefs about money, as well as attitudes and values towards it, have varied between societies and over time, and specifically how they have changed over the modern era. Secondly, the book shows the powerful effects that changing ideas have had on events, including wars and revolutions, recessions, booms and financial crises. Thirdly, the book recounts the creation of a global money space, dated to the last quarter of the 20th century, and explores its features. Fourthly, the book describes some characteristics of the new money society that inhabits the global money space. Fifthly, the book shows how each society, and indeed successive generations of the same society, has made its own unique arrangements to govern money – i.e. how it comes to terms with the power of money. The author argues that we need to develop a new arrangement now and suggests that we have much to learn from recent creative work in a number of fields ranging from the sociology of money to contemporary art. This approach sheds new light on a number of controversial issues, including the rise of crony capitalism, growing social divisions, currency wars, and asset price bubbles.",0,Business & Economics,en,http://books.google.co.in/books?id=PhmhxgEACAAJ&dq=Money&hl=&cd=11&source=gbs_api
The Woke Salaryman Crash Course on Capitalism & Money,The Woke Salaryman,John Wiley & Sons,2024-02-21,"Learn the rules of the game of capitalism so you can play to win and build wealth Crash Course on Capitalism and Money: Lessons from the World's Most Expensive City is not your typical personal finance guide. Written by the founders of the top personal finance blog in Singapore, this book acknowledges the frustrations many young people feel as they enter the world of money, and it shows you how to develop the mindset necessary to thrive for the rest of your life. Through visual storytelling, Crash Course on Capitalism and Money melds personal finance, economics, sociology, and psychology to create a book that shows you the path to financial success. If you're ready to rise above discontentment, accept the reality you find yourself in, and put in the work it takes to survive, then thrive in today's world—then this is the book for you. In this book, you'll find a collection of the most popular comics by The Woke Salaryman. The stories are accompanied by commentaries that offer additional context on how each story fits within the bigger framework of approaching the daunting challenge of navigating money, life and purpose in these times. Why you should get the book: It's a guided tour from the perspective of the disillusioned youth who feel like the game is rigged and the odds are stacked against their favor. The comics and illustrated essays make the technical and boring aspects of personal finance more accessible and interesting. Actionable step-by-step tips on how to make your first steps after graduation. The point is not just to make as much money as possible, but rather to think about personal finance as an important strategic aspect in your life, from which you can then achieve your life goals. For young people just beginning their personal finance journeys, as well as anyone who wants to make better financial and life choices while navigating the rules of capitalism and wealth, Crash Course on Capitalism and Money is a fun and enlightening read.",355,Business & Economics,en,http://books.google.co.in/books?id=Ktf2EAAAQBAJ&printsec=frontcover&dq=Money&hl=&cd=12&source=gbs_api
Monetary Theory,George Nikolaus Halm,,1946,,520,Money,en,http://books.google.co.in/books?id=TQdIAQAAIAAJ&q=Money&dq=Money&hl=&cd=14&source=gbs_api
The History of Money,Jack Weatherford,Crown Currency,2009-09-23,"“If you’re interested in the revolutionary transformation of the meaning and use of money, this is the book to read!”—Charles R. Schwab Cultural anthropologist Jack Weatherford traces our relationship with money, from primitive man’s cowrie shells to the electronic cash card, from the markets of Timbuktu to the New York Stock Exchange. The History of Money explores how money and the myriad forms of exchange have affected humanity, and how they will continue to shape all aspects of our lives—economic, political, and personal. “A fascinating book about the force that makes the world go round—the dollars, pounds, francs, marks, bahts, ringits, kwansas, levs, biplwelles, yuans, quetzales, pa’angas, ngultrums, ouguiyas, and other 200-odd brand names that collectively make up the mysterious thing we call money.”—Los Angeles Times",305,Business & Economics,en,http://books.google.co.in/books?id=v8oxCs1eWgsC&printsec=frontcover&dq=Money&hl=&cd=16&source=gbs_api
Money and the Economic Process,Sheila C. Dow,Edward Elgar Publishing,1993,"The common ground between money's role in the economic process at the regional, national and international levels has been highlighted by developments in Europe. Money and the Economic Process provides a theoretical perspective for understandin that role, and working out policy solutions within a changing behavioural and institutional environment.",240,Business & Economics,en,http://books.google.co.in/books?id=kbCiAAAAIAAJ&q=Money&dq=Money&hl=&cd=17&source=gbs_api
